<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230502;101000;181.0100000;181.8600000;180.8200000;181.7100000;1328620
20230502;102000;181.6900000;181.7200000;180.5000000;180.8500000;1095690
20230502;103000;180.8500000;181.0100000;180.2200000;180.5000000;806680
20230502;104000;180.4900000;180.8200000;180.2000000;180.8200000;458370
20230502;105000;180.8000000;181.0800000;180.5800000;181.0400000;205860
20230502;110000;181.0300000;181.1900000;180.6100000;180.8100000;475090
20230502;111000;180.8100000;180.8900000;180.6000000;180.6200000;231570
20230502;112000;180.6200000;180.9900000;180.6200000;180.8600000;342770
20230502;113000;180.8500000;180.8600000;180.4200000;180.4600000;388710
20230502;114000;180.4200000;180.4200000;179.7600000;180.1200000;1346420
20230502;115000;180.1200000;180.2300000;179.8300000;179.9200000;353650
20230502;120000;179.9100000;180.1500000;179.5100000;179.6900000;872950
20230502;121000;179.6900000;179.9600000;179.6300000;179.9500000;205050
20230502;122000;179.9500000;179.9500000;179.2000000;179.6000000;819730
20230502;123000;179.5700000;179.7900000;179.4000000;179.4600000;308180
20230502;124000;179.4600000;179.5900000;179.4000000;179.4500000;315410
20230502;125000;179.4400000;179.6700000;179.3200000;179.5000000;338380
20230502;130000;179.5300000;179.6600000;179.4300000;179.4700000;432570
20230502;131000;179.5000000;180.0000000;179.4600000;179.9700000;423400
20230502;132000;179.9700000;180.1000000;179.7100000;180.1000000;401350
20230502;133000;180.1000000;180.3900000;179.8300000;180.1400000;334710
20230502;134000;180.1400000;180.2900000;179.7500000;179.7700000;233860
20230502;135000;179.7600000;179.9000000;179.7500000;179.8900000;146940
20230502;140000;179.8500000;180.0000000;179.8200000;179.9800000;185630
20230502;141000;179.9900000;179.9900000;179.6300000;179.7400000;222410
20230502;142000;179.7800000;180.1900000;179.7500000;180.1600000;198050
20230502;143000;180.1900000;180.2500000;179.8300000;180.1200000;205210
20230502;144000;180.1200000;180.2800000;180.1000000;180.1300000;118370
20230502;145000;180.1300000;180.1900000;180.0000000;180.1300000;164360
20230502;150000;180.1300000;180.1900000;179.7600000;179.8000000;134770
20230502;151000;179.8100000;179.8300000;179.6000000;179.7200000;127200
20230502;152000;179.7200000;179.8100000;179.6800000;179.6800000;100940
20230502;153000;179.6500000;179.7800000;179.4600000;179.6100000;324050
20230502;154000;179.5400000;179.6600000;179.2500000;179.5500000;355170
20230502;155000;179.5400000;179.5600000;178.6000000;178.7100000;1078920
20230502;160000;178.7200000;179.2700000;178.7200000;178.9900000;323650
20230502;161000;178.9900000;179.5700000;178.9900000;179.5600000;205700
20230502;162000;179.5500000;180.1000000;179.2800000;179.4700000;541380
20230502;163000;179.4800000;179.4800000;179.0500000;179.3000000;187120
20230502;164000;179.2900000;179.2900000;178.7100000;178.7200000;423320
20230502;165000;178.7200000;179.0000000;178.7200000;178.7300000;437450
20230502;170000;178.7300000;178.9100000;178.6000000;178.7900000;472760
20230502;171000;178.7900000;178.8500000;178.6200000;178.6400000;345740
20230502;172000;178.6300000;178.6400000;177.8500000;177.8500000;1838380
20230502;173000;177.8500000;178.1400000;177.7000000;177.9200000;690730
20230502;174000;177.9200000;177.9300000;176.3800000;176.7600000;1806610
20230502;175000;176.8000000;177.1500000;176.6600000;177.0800000;737960
20230502;180000;177.0500000;177.1000000;175.8000000;176.3100000;2147740
20230502;181000;176.2600000;177.2200000;176.0700000;176.8500000;1253910
20230502;182000;176.8900000;177.4300000;176.8500000;177.0300000;731000
20230502;183000;177.0300000;177.2400000;177.0200000;177.1600000;450630
20230502;184000;177.1600000;177.3000000;177.0200000;177.2900000;311790
20230502;185000;178.5000000;178.5000000;178.5000000;178.5000000;1551740
20230502;191000;178.3100000;178.5500000;177.6600000;177.9300000;781640
