dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
9,9,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
19,19,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
29,29,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
39,39,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
49,49,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
59,59,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
1,69,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0
11,79,1.0,0.0,0.09,0.04,0.0,0.0,0.0,0.0
8,89,1.0,0.0,0.12,0.04,0.0,0.0,0.0,0.0
8,99,1.0,0.0,0.12,0.05,0.0,0.0,0.0,0.0
18,109,1.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0
28,119,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0
38,129,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0
4,139,1.0,0.0,0.25,0.04,0.0,0.0,0.0,0.0
14,149,1.0,0.0,0.07,0.04,0.0,0.0,0.0,0.0
24,159,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0
34,169,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0
44,179,1.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0
54,189,1.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0
64,199,1.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0
74,209,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
84,219,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
94,229,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
3,239,1.0,0.0,0.33,0.03,0.0,0.0,0.0,0.0
13,249,1.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0
23,255,1.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0
5,255,1.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0
1,255,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0
11,255,1.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0
21,255,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0
31,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0
41,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
2,255,1.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0
12,255,1.0,0.0,0.08,0.05,0.0,0.0,0.0,0.0
22,255,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0
32,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0
42,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
52,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
62,255,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
72,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
82,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
10,255,1.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
20,255,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0
30,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0
40,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0
3,255,1.0,0.0,0.33,0.05,0.0,0.0,0.0,0.0
13,255,1.0,0.0,0.08,0.05,0.0,0.0,0.0,0.0
23,255,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0
2,255,1.0,0.0,0.5,0.06,0.0,0.0,0.0,0.0
8,255,1.0,0.0,0.12,0.06,0.0,0.0,0.0,0.0
18,255,1.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0
8,255,1.0,0.0,0.12,0.06,0.0,0.0,0.0,0.0
18,255,1.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0
28,255,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0
10,255,1.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
20,255,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0
30,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0
1,255,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0
11,255,1.0,0.0,0.09,0.04,0.0,0.0,0.0,0.0
21,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0
31,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0
41,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
51,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
61,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
71,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
81,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
91,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
101,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
111,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0
121,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
131,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
141,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
151,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
161,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
171,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
181,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
191,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
201,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
211,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
221,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
231,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
241,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
251,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
